  12512443036  6
  25451661063 31
  32342543146 42
  41611335044 74
  52512253041104
  62522553050 92
  76161662031108
  94432552036 38
 103231662029113
 113212253043204
 125251461070164
 135253443050192
 154153454046 15
 165251662035 48
 173562553031 60
 186524243144204
 193451662039 92
 213532553057 48
 235221463124 16
 244614554049 96
 255252444024 65
 264351562128 17
 271522555144 57
 285161662029 65
 291564225027 60
 303431652036211
 313.32553041  .
 326151564030 18
 335251562028 30
 344342663036114
 355251661042  6
 362512333038156
 373451663043 33
 384434334033132
 394341562041103
 404241553047204
 4116152560 . 80
 4233315550 . 12
 43354423.159  5
 443232453048 72
 455151661051 19
 462451563041199
 485552552134120
 495162553124  9
 501511563055109
 513142552052 36
 521611263051 84
 531221663132 16
 545243344038 22
 552452554038 18
 561614345123  3
 573441663126 18
 592524254055114
 622424334044 13
 636561661039 31
 645252542136 18
 655441663044 25
 666612355027 65
 671421561048  3
 685251552051 77
 701651661039158
 714451552036 45
 725242563031 19
 732621663029 22
 741523454127 72
 752521553032 48
 765431552048 89
 776161661066 72
 786161661053  7
 793332453031 82
 803434334136 54
 814242552026  5
 826161662128 52
 833432443143  6
 852522554035172
 865251551067 30
 873342553133108
 884432553052 37
 895152453125 60
 905553333153 36
 912413345137106
 923431552028 77
 933432552042144
 942412554126 36
 954241554035 72
 962432552046 24
 995251552045 62
1001511551143  7
1012422553148144
1024612353025 15
1033332665127 36
1043431553029 60
10552525510 . 96
1073342452044  6
1086161662039180
1105542553127  3
1111612426146 34
1134441662056120
1153331562036 72
1164352552034 88
1173434333139 60
1196161661149 58
1215252553026 55
1223621662033 72
1235251661057 73
1253321452050 72
1266151662038 72
1275261662038 69
1283232452057 23
1293231652050 36
1313654446144 60
1341624256040 60
1354541551038 11
1362522553049 25
1374231551046 15
1381616146039192
1393431552050 16
1405252551038 16
1424251662053183
1431515236130 24
1473231662044216
1486252552024 60
1493324446128  6
1505451663040 21
1512612553054 81
1531613215039 90
1545551664034 81
1555251662063 83
1564352554029 10
1575251553055180
158515..61061 10
1596161661058 26
1605261661143 96
1615252553045 24
1621114225058110
1641615236034 72
1655251661162252
1665131663135162
1675251663128 78
1682523553041189
1692441553025 54
1703434355035  6
1716423353057 90
1742512553136 54
1772313245027 28
1782521662052 84
1793441663058114
1801651663040110
1821616116158204
1843331551040180
1855242553135 84
1865252551027 24
1871514344035192
1884243342129  9
1896161661035 35
1932224333037  8
